year,geo_name,geo,grads_total
2014,"Orange County, NC","05000US37135",9261
2014,"Bergen County, NJ","05000US34003",9256
2014,"Chatham County, GA","05000US13051",9254
2014,"Arapahoe County, CO","05000US08005",9247
2014,"Lancaster County, NE","05000US31109",9235
2015,"Tuscaloosa County, AL","05000US01125",9170
2015,"Bergen County, NJ","05000US34003",9165
2013,"Bergen County, NJ","05000US34003",9150
2015,"Tulsa County, OK","05000US40143",9148
2013,"Hampden County, MA","05000US25013",9138
2013,"Lancaster County, NE","05000US31109",9101
2015,"Lancaster County, NE","05000US31109",9025
2013,"Boulder County, CO","05000US08013",8962
2014,"Durham County, NC","05000US37063",8962
2013,"Chatham County, GA","05000US13051",8923
2015,"Durham County, NC","05000US37063",8897
2013,"Lane County, OR","05000US41039",8894
2015,"Montgomery County","05000US51121",8881
2015,"Tolland County, CT","05000US09013",8833
2014,"Tuscaloosa County, AL","05000US01125",8832
2015,"St. Louis city, MO","05000US29510",8804
2014,"Lane County, OR","05000US41039",8750
2013,"Montgomery County, PA","05000US42091",8685
2013,"Arapahoe County, CO","05000US08005",8669
2015,"McLennan County, TX","05000US48309",8661
2014,"Montgomery County, PA","05000US42091",8660
2014,"Montgomery County","05000US51121",8640
2015,"Lane County, OR","05000US41039",8618
2014,"Collin County, TX","05000US48085",8612
2014,"St. Louis city, MO","05000US29510",8603
2014,"Boulder County, CO","05000US08013",8576
2014,"Tolland County, CT","05000US09013",8556
2013,"Kalamazoo County, MI","05000US26077",8510
2014,"Johnson County, IA","05000US19103",8491
2013,"Durham County, NC","05000US37063",8488
2015,"Johnson County, IA","05000US19103",8477
2013,"Douglas County, KS","05000US20045",8473
2015,"Ventura County, CA","05000US06111",8471
2013,"Tolland County, CT","05000US09013",8457
2015,"Montgomery County, PA","05000US42091",8421
2013,"Johnson County, IA","05000US19103",8403
2015,"Boulder County, CO","05000US08013",8399
2015,"Pitt County, NC","05000US37147",8378
2014,"Douglas County, KS","05000US20045",8311
2013,"Tuscaloosa County, AL","05000US01125",8301
2014,"Pitt County, NC","05000US37147",8269
2013,"Ventura County, CA","05000US06111",8264
2015,"Pulaski County, AR","05000US05119",8259
2014,"Pulaski County, AR","05000US05119",8257
2015,"Baldwin County, AL","05000US01003",8240
2014,"Hillsborough County, NH","05000US33011",8222
2013,"Montgomery County","05000US51121",8207
2013,"St. Louis city, MO","05000US29510",8187
2013,"Pitt County, NC","05000US37147",8184
2014,"Contra Costa County, CA","05000US06013",8181
2013,"Stearns County, MN","05000US27145",8130
2013,"Lake County, IL","05000US17097",8130
2015,"Montgomery County, TX","05000US48339",8006
2015,"Essex County, MA","05000US25009",7997
2015,"Hinds County, MS","05000US28049",7991
2014,"Kalamazoo County, MI","05000US26077",7983
2015,"Hays County, TX","05000US48209",7980
2013,"Collin County, TX","05000US48085",7979
2015,"Douglas County, KS","05000US20045",7954
2013,"Contra Costa County, CA","05000US06013",7945
2015,"Stearns County, MN","05000US27145",7940
2015,"Story County","05000US19169",7899
2015,"Washoe County, NV","05000US32031",7897
2014,"Stearns County, MN","05000US27145",7896
2013,"Essex County, MA","05000US25009",7852
2013,"Lee County, FL","05000US12071",7851
2015,"Contra Costa County, CA","05000US06013",7829
2014,"Coconino County, AZ","05000US04005",7770
2014,"Hays County, TX","05000US48209",7729
2013,"Kent County, MI","05000US26081",7721
2014,"Lee County, FL","05000US12071",7713
2014,"Ventura County, CA","05000US06111",7712
2015,"Larimer County, CO","05000US08069",7703
2013,"Baldwin County, AL","05000US01003",7699
2014,"Baldwin County, AL","05000US01003",7698
2014,"Polk County, IA","05000US19153",7673
2015,"Coconino County, AZ","05000US04005",7672
2015,"Charlottesville city","05000US51540",7656
2013,"Pasco County, FL","05000US12101",7646
2015,"Polk County, IA","05000US19153",7638
2015,"Portage County, OH","05000US39133",7634
2015,"Lee County, FL","05000US12071",7633
2014,"Essex County, MA","05000US25009",7614
2013,"Hays County, TX","05000US48209",7576
2015,"Kalamazoo County, MI","05000US26077",7563
2015,"Pasco County, FL","05000US12101",7560
2015,"Guaynabo Municipio","05000US72061",7553
2014,"Pasco County, FL","05000US12101",7539
2014,"Story County","05000US19169",7529
2014,"Portage County, OH","05000US39133",7513
2015,"Brevard County, FL","05000US12009",7470
2013,"Larimer County, CO","05000US08069",7461
2014,"Genesee County, MI","05000US26049",7443
2014,"Larimer County, CO","05000US08069",7436
2013,"Pulaski County, AR","05000US05119",7426
2015,"Cleveland County, OK","05000US40027",7419
2013,"Charlottesville city","05000US51540",7415
2014,"Kent County, MI","05000US26081",7407
2015,"Seminole County, FL","05000US12117",7404
2015,"San Luis Obispo County, CA","05000US06079",7377
2015,"Kent County, MI","05000US26081",7375
2015,"Sonoma County, CA","05000US06097",7369
2013,"Polk County, IA","05000US19153",7362
2013,"Portage County, OH","05000US39133",7349
2013,"Sonoma County, CA","05000US06097",7348
2013,"Seminole County, FL","05000US12117",7329
2014,"Charlottesville city","05000US51540",7326
2013,"Cleveland County, OK","05000US40027",7325
2014,"Sedgwick County, KS","05000US20173",7279
2013,"Sedgwick County, KS","05000US20173",7272
2013,"Coconino County, AZ","05000US04005",7251
2014,"Washoe County, NV","05000US32031",7240
2013,"Lucas County, OH","05000US39095",7236
2014,"Sonoma County, CA","05000US06097",7218
2013,"Hinds County, MS","05000US28049",7214
2015,"Whitman County","05000US53075",7208
2014,"Butte County, CA","05000US06007",7189
2014,"Hinds County, MS","05000US28049",7177
2014,"Cleveland County, OK","05000US40027",7176
2013,"Butte County, CA","05000US06007",7176
2015,"Ottawa County, MI","05000US26139",7074
2013,"Story County","05000US19169",7043
2015,"Monongalia County, WV","05000US54061",7034
2015,"Virginia Beach city, VA","05000US51810",7028
2014,"Seminole County, FL","05000US12117",7018
2014,"Chester County, PA","05000US42029",7015
2013,"Virginia Beach city, VA","05000US51810",7007
2014,"Lucas County, OH","05000US39095",6981
2015,"Lucas County, OH","05000US39095",6977
2014,"Virginia Beach city, VA","05000US51810",6949
2013,"McLean County, IL","05000US17113",6939
2014,"Monterey County, CA","05000US06053",6897
2013,"Hillsborough County, NH","05000US33011",6894
2015,"Cache County, UT","05000US49005",6877
2014,"McLean County, IL","05000US17113",6871
2013,"Ottawa County, MI","05000US26139",6864
2013,"Kane County, IL","05000US17089",6863
2013,"St. Joseph County, IN","05000US18141",6856
2013,"Whitman County","05000US53075",6843
2015,"Sedgwick County, KS","05000US20173",6838
2013,"Brevard County, FL","05000US12009",6836
2014,"Will County, IL","05000US17197",6826
2015,"Hudson County, NJ","05000US34017",6823
2015,"Kane County, IL","05000US17089",6813
2014,"Warren County, KY","05000US21227",6807
2013,"Will County, IL","05000US17197",6805
2014,"Summit County, OH","05000US39153",6803
