year,geo_name,geo,grads_total_growth
2015,"Hinds County, MS","05000US28049",0.113418
2014,"Clatsop County","05000US41007",0.113402
2015,"Halifax County","05000US37083",0.113022
2015,"Putnam County","05000US12107",0.112941
2015,"Hamilton County, IN","05000US18057",0.112903
2015,"Lea County","05000US35025",0.112875
2014,"Marion County","05000US39101",0.112875
2015,"Hardy County","05000US54031",0.112676
2014,"Franklin County","05000US13119",0.112676
2015,"Jackson County, MO","05000US29095",0.112103
2014,"Riley County","05000US20161",0.112056
2014,"Lincoln County","05000US41041",0.112
2014,"Pulaski County, AR","05000US05119",0.111904
2014,"Honolulu County, HI","05000US15003",0.11176
2014,"Brown County","05000US27015",0.111675
2014,"Seneca County","05000US36099",0.111554
2015,"Tift County","05000US13277",0.111304
2015,"Talladega County","05000US01121",0.111111
2015,"Letcher County","05000US21133",0.111111
2015,"Johnson County, TX","05000US48251",0.111111
2014,"Clark County, WA","05000US53011",0.110729
2014,"Claiborne County","05000US47025",0.110703
2015,"Hot Spring County","05000US05059",0.110439
2014,"Sunflower County","05000US28133",0.110417
2015,"Jefferson County","05000US17081",0.110224
2014,"Monterey County, CA","05000US06053",0.110092
2015,"Socorro County","05000US35053",0.110092
2014,"Alpena County","05000US26007",0.109948
2015,"Haralson County","05000US13143",0.109213
2015,"Crawford County","05000US20037",0.108108
2014,"San Sebastián Municipio","05000US72131",0.107769
2015,"Spotsylvania County, VA","05000US51177",0.107692
2015,"Cherokee County","05000US37039",0.107692
2014,"Pulaski County","05000US29169",0.107527
2015,"Richmond County","05000US37153",0.106771
2014,"Salt Lake County, UT","05000US49035",0.106489
2014,"Yates County","05000US36123",0.106416
2014,"Rolette County","05000US38079",0.106383
2015,"Vigo County, IN","05000US18167",0.106341
2015,"Elkhart County, IN","05000US18039",0.106061
2014,"Barnstable County, MA","05000US25001",0.105966
2015,"Boyd County","05000US21019",0.105874
2015,"Suffolk city","05000US51800",0.105263
2014,"Stevens County","05000US27149",0.105012
2015,"Crittenden County","05000US05035",0.104956
2015,"Brazoria County, TX","05000US48039",0.104671
2014,"Knox County","05000US17095",0.104192
2014,"Kleberg County","05000US48273",0.103981
2014,"Chesapeake city, VA","05000US51550",0.103846
2014,"Anoka County, MN","05000US27003",0.103836
2015,"Scott County","05000US47151",0.103448
2015,"Washington County","05000US21229",0.103448
2014,"Tuolumne County","05000US06109",0.102857
2015,"Texas County","05000US40139",0.10274
2014,"Rock Island County, IL","05000US17161",0.102473
2014,"Warren County, KY","05000US21227",0.101635
2014,"Rio Arriba County","05000US35039",0.101523
2015,"Washington County","05000US13303",0.101389
2014,"Centre County, PA","05000US42027",0.101323
2014,"Henrico County, VA","05000US51087",0.101193
2015,"Hidalgo County, TX","05000US48215",0.100794
2015,"Arapahoe County, CO","05000US08005",0.100573
2014,"Payne County","05000US40119",0.100456
2015,"Wood County","05000US55141",0.100324
2015,"Orange County, CA","05000US06059",0.100251
2014,"Jefferson County","05000US47089",0.100223
2014,"Warren County","05000US17187",0.1
2014,"Cass County, MO","05000US29037",0.1
2015,"Kaufman County, TX","05000US48257",0.1
2014,"Knott County","05000US21119",0.1
2014,"Randolph County","05000US29175",0.0998797
2015,"Independence County","05000US05063",0.0998081
